"V1","V2","V3","V7","V8","V9","V10","cond","game1","game2","game3","outcome1","outcome2","outcome3","Q5","Q1_1(1)","Q1_1(2)","Q2_1(1)","Q2_1(2)","Q4_1(1)","Q4_1(2)","Q6_1","Q6_2","Q6_3","Q6_4","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q9","Q11_1","Q13_1","Q15_1","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q17_10","Q17_11","Q17_12","Q17_13","Q17_14","Q17_15","Q17_16","Q17_17","Q17_18","Q17_19","Q17_20","Q17_21","Q17_22","Q17_23","Q17_24","Q17_25","Q17_26","Q17_27","Q17_28","Q17_29","Q17_30","Q23_1","Q25","Q31",""
"R_8vtjAFiyLeH3ie1","Default Response Set","Anonymous","0","2015-02-16 12:14:21","2015-02-16 12:19:02","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","30","","45","","50","","","","","90","40","100","75","80","50","1","4","65","6","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","27","1","",""
"R_8piOZgawesoc8ct","Default Response Set","Anonymous","0","2015-02-16 12:15:59","2015-02-16 12:19:14","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","57","","54","","","40","","","","","75","72","100","95","65","55","1","11","70","30","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","34","1","",""
"R_8cCZaMRcOtfjg3j","Default Response Set","Anonymous","0","2015-02-16 12:13:59","2015-02-16 12:19:16","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","85","","","20","","30","3","3","4","4","100","40","90","75","75","35","1","2","30","6","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","36","1","",""
"R_9FBZ175LkUflol7","Default Response Set","Anonymous","0","2015-02-16 12:16:41","2015-02-16 12:19:26","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","70","","70","","","25","","","","","85","65","100","65","85","50","1","1","10","5","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","1","",""
"R_eQI7Bc33DX01NvD","Default Response Set","Anonymous","0","2015-02-16 12:17:17","2015-02-16 12:19:48","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","58","","","46","","47","6","2","5","1","94","82","100","96","90","86","1","10","150","15","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","24","1","",""
"R_4H0f6o0wMkSlNdz","Default Response Set","Anonymous","0","2015-02-16 12:16:53","2015-02-16 12:20:27","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","70","","60","","3","6","4","6","60","30","100","70","80","40","1","2","30","24","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","29","1","Solid survey! ",""
"R_bJkFuhKXpJEW1Tv","Default Response Set","Anonymous","0","2015-02-16 12:17:42","2015-02-16 12:20:53","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","45","","15","50","","2","2","3","4","77","50","85","80","100","35","1","3","12","4","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","21","1","It should be a bit more mobile friendly by reducing the size of the likely scale",""
"R_0VsZwrqTvkFz1t3","Default Response Set","Anonymous","0","2015-02-16 12:17:52","2015-02-16 12:21:20","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","68","","78","","","40","3","3","2","5","90","55","100","65","85","50","1","7","100","35","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","21","2","",""
"R_bdXTFUhVfmVeou1","Default Response Set","Anonymous","0","2015-02-16 12:19:16","2015-02-16 12:21:40","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","60","","","24","75","","3","5","6","5","50","30","100","70","90","10","1","0.5","6","4","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","22","1","",""
"R_56inAOmWlLXl8fr","Default Response Set","Anonymous","0","2015-02-16 12:19:48","2015-02-16 12:22:46","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","65","","","40","","45","","","","","85","60","100","85","90","65","1","4","50","5","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","31","1","",""
"R_1FWPkIqcU11f1jL","Default Response Set","Anonymous","0","2015-02-16 12:19:01","2015-02-16 12:22:55","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","","30","60","","5","5","3","5","88","70","100","92","82","65","1","12","80","20","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","24","1","Well done!",""
"R_6idcHcMrpUxuKb3","Default Response Set","Anonymous","0","2015-02-16 12:22:02","2015-02-16 12:25:19","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","50","","50","","50","3","4","6","2","90","50","100","70","80","60","1","8","140","40","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","30","1","",""
"R_6PDgyjfrDtsKdcV","Default Response Set","Anonymous","0","2015-02-16 12:19:28","2015-02-16 12:25:22","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","58","","55","","","47","7","3","4","5","83","72","100","92","80","74","1","3","55","10","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","30","1","",""
"R_5dvNfzsCyJrzbDL","Default Response Set","Anonymous","0","2015-02-16 12:22:04","2015-02-16 12:26:36","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","66","","","22","55","","3","4","5","4","85","70","100","85","75","50","1","2","14","15","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","28","1","",""
"R_6GdglIh6iZdjEDr","Default Response Set","Anonymous","0","2015-02-16 12:19:33","2015-02-16 12:27:04","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","80","","80","","85","","6","2","4","4","55","25","100","70","70","40","1","8","150","8","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","25","1","I'm not sure what you're measuring exactly, but it seems like a fudge factor that Blake Griffin is currently injured and is questionable for a game in the near future. I answered questions dealing with both the team strength and the probability LAC would win under the strong likelihood Griffin would sit due to injury - otherwise I'd prefer Memphis to win ~60% of the time and the Clips strength to go up to 90%). Thanks and best of luck in your research!",""
"R_8owWNbNIRC343f7","Default Response Set","Anonymous","0","2015-02-16 12:24:01","2015-02-16 12:27:16","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","30","","40","","20","7","2","4","2","70","50","100","80","65","55","1","6","100","25","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","33","1","",""
"R_083GDMqkPpHoEFD","Default Response Set","Anonymous","0","2015-02-16 12:23:45","2015-02-16 12:27:17","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","75","","","40","60","","","","","","70","60","100","65","75","45","1","2","45","8","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","21","1","",""
"R_5h98DR5pwvErPdb","Default Response Set","Anonymous","0","2015-02-16 12:27:31","2015-02-16 12:30:55","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","80","","","35","65","","4","3","3","5","85","45","100","65","75","55","1","2","40","15","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","28","1","",""
"R_9AfCaWZKa7Q18yh","Default Response Set","Anonymous","0","2015-02-16 12:28:15","2015-02-16 12:32:11","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","48","85","","90","","6","3","3","5","70","50","100","80","85","65","1","6","70","20","","","","","1","","","","1","1","","","","","","","1","","","","","","","1","","","","1","","","30","1","",""
"R_9ABKQjx6ASM5T1j","Default Response Set","Anonymous","0","2015-02-16 12:27:44","2015-02-16 12:33:57","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","40","","40","55","","6","4","5","4","75","55","100","85","70","65","1","4","70","15","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","24","1","",""
"R_3kpmRs2JxiQsVHn","Default Response Set","Anonymous","0","2015-02-16 12:32:09","2015-02-16 12:34:31","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","70","","60","","","25","6","4","6","4","70","30","80","70","100","30","1","0","0","0.5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","26","1","",""
"R_8jfUiC7wTkesl2R","Default Response Set","Anonymous","0","2015-02-16 12:23:12","2015-02-16 12:37:06","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","65","","","60","","50","5","2","5","5","100","50","80","90","60","85","1","0.5","6","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","23","1","",""
"R_7UsYKJNGp6a1DDv","Default Response Set","Anonymous","0","2015-02-16 12:38:01","2015-02-16 12:40:10","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","40","60","","","50","6","3","3","5","95","70","100","95","85","70","1","5","40","12","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","26","1","",""
"R_e4zPCW9Mv3M1nY9","Default Response Set","Anonymous","0","2015-02-16 12:42:23","2015-02-16 12:47:03","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","19","","35","","40","4","5","4","5","65","35","100","70","55","40","1","0.5","10","4","1","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","29","1","",""
"R_6u2aAlhwYPnxnVj","Default Response Set","Anonymous","0","2015-02-16 12:40:06","2015-02-16 12:47:58","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","60","","60","","55","","6","4","5","4","80","65","100","85","80","60","1","4","50","10","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","25","1","n/a",""
"R_erDYXybrFN3zsO1","Default Response Set","Anonymous","0","2015-02-16 12:48:03","2015-02-16 12:51:32","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","15","","55","60","","2","4","4","5","80","50","100","70","50","50","1","5-7","50","20","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","26","1","Good Survey!",""
"R_e2tFIG8NJIu7axT","Default Response Set","Anonymous","0","2015-02-16 12:53:45","2015-02-16 12:59:58","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","55","","","47","52","","5","5","5","6","90","85","100","95","88","82","1","2","30","7","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","31","1","",""
"R_dgUhii3ZFhMHSh7","Default Response Set","Anonymous","0","2015-02-16 12:57:58","2015-02-16 13:01:08","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","50","","","50","","50","2","4","2","3","100","70","98","94","85","65","1","4","90","10","","","","1","","1","","","","","","","","1","","1","","","","","","","","","","","1","","","","30","1","",""
"R_8BOPSeJ2vRZM8rH","Default Response Set","Anonymous","0","2015-02-16 12:54:49","2015-02-16 13:12:08","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","35","","20","80","","3","5","3","4","80","65","100","70","85","50","1","4","70","16","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","29","1","",""
"R_d6xo3tF6JaPrPJX","Default Response Set","Anonymous","0","2015-02-16 13:10:27","2015-02-16 13:17:57","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","","20","50","","7","1","3","3","85","50","100","85","90","40","1","2","40","10","1","","","1","","","","","1","","","","","","","","1","","","","","","","","","","1","","","","34","1","Almost everything has some degree of chance...",""
"R_4SgImx9uonn1Rsx","Default Response Set","Anonymous","0","2015-02-16 13:14:44","2015-02-16 13:21:43","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","65","","72","","","50","4","2","4","4","85","69","100","90","80","75","1","4","60","5","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","36","1","",""
"R_3QVbEroM5PFG9sV","Default Response Set","Anonymous","0","2015-02-16 13:15:29","2015-02-16 13:30:02","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","35","75","","60","","3","3","3","1","85","40","100","75","60","50","1","3","20","20","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","1","33","1","",""
"R_5sFMHMV2KUmuLDD","Default Response Set","Anonymous","0","2015-02-16 13:27:49","2015-02-16 13:31:36","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","","60","70","","3","4","2","5","90","50","100","90","70","50","1","5","80","20","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","39","1","",""
"R_do62O6wBgtswnpX","Default Response Set","Anonymous","0","2015-02-16 13:34:08","2015-02-16 13:39:30","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","55","","50","","","49","6","2","5","6","98","80","100","98","90","80","1","3","50","20","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","36","1","",""
"R_9YmERAWofdHl5Fr","Default Response Set","Anonymous","0","2015-02-16 13:51:22","2015-02-16 13:57:47","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","55","","","46","50","","7","2","6","5","84","68","100","85","83","70","1","7","50","20","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","41","1","I found it hard to answer the game probability questions without info on home vs road teams.",""
"R_cYex2cEtx0nIG7r","Default Response Set","Anonymous","0","2015-02-16 14:35:26","2015-02-16 14:41:09","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","30","70","","","40","5","2","5","3","100","65","90","80","90","40","1","3","40","15","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","34","1","Go see Dr Adam Waytz DJ some time.",""
"R_8IhFoSjzzCeDUtT","Default Response Set","Anonymous","0","2015-02-16 15:56:19","2015-02-16 15:59:58","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","75","","60","","70","","3","5","3","3","95","50","100","78","85","60","1","2","30","4","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","21","1","",""
"R_exj25Ql4oGCfyBv","Default Response Set","Anonymous","0","2015-02-16 16:16:17","2015-02-16 16:20:16","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","55","","65","","","20","5","6","2","6","75","50","100","70","85","60","1","2.5","40","10","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","22","1","",""
"R_ac4ZN3S2YkMIVCd","Default Response Set","Anonymous","0","2015-02-16 16:18:01","2015-02-16 16:21:26","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","56","","","25","","43","3","5","5","3","80","38","100","75","84","42","1","6","60","10","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","33","1","",""
"R_3z96FuBNIkDj5dP","Default Response Set","Anonymous","0","2015-02-16 16:21:49","2015-02-16 16:27:49","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","25","","35","","30","","","","","80","25","100","70","60","20","1","3","35","4","1","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","29","1","",""
"R_6yAXzHYh7XhGh5H","Default Response Set","Anonymous","0","2015-02-17 13:03:12","2015-02-17 13:08:07","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","60","75","","50","","2","5","3","4","100","85","99","95","90","70","1","3","20","15","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","32","1","",""
"R_bHNkhgAIl8zVqWF","Default Response Set","Anonymous","0","2015-02-17 12:43:31","2015-02-17 13:15:07","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","55","","","44","","48","3","5","2","6","90","75","100","95","85","75","1","3","50","3","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","50","1","I would take home/away info into account given the opportunity",""
