id,domain,prob,extremity,umedian,lmedian,p100,dv,support,coeff,ea,brier,resolution,reliability,age,focal,foil,gender,know,target,jp,outcome,pc,diff,bin,Oj,outcomevar
6,rain,.5,0,,,0,0,.28768209,.40274394,2.25,.25,.003521689,.0063434839,18,100,75,1,5,Rain B,.5,1,1,.46067417,4,.57964599,.24982373
6,politics,.5,0,,,0,0,-1.6094379,.40274394,2.75,.25,.003521689,.0063434839,18,20,100,1,,US President A,.5,1,0,.72527474,4,.57964599,.24982373
6,football,.5,0,,,0,0,.69314718,.40274394,3.5,.25,.003521689,.0063434839,18,100,50,1,0,Football B,.5,0,1,.62195122,4,.57964599,.24982373
6,baseball,.75,.25,.75,,0,1.0986123,1.0498221,.40274394,2.75,.5625,.096029654,.0064302264,18,100,35,1,0,Baseball A,.75,0,0,.60919541,7,.83018869,.24982373
6,housing,.5,0,,,0,0,-.69314718,.40274394,3.5,.25,.003521689,.0063434839,18,50,100,1,3,Housing Prices A,.5,1,0,.40697673,4,.57964599,.24982373
6,crime,.80000001,.30000001,.80000001,,0,1.3862945,1.6094379,.40274394,4.75,.039999995,.096029654,.00091135636,18,100,20,1,5,Crime A,.80000001,1,1,.90816325,7,.83018869,.24982373
7,football,.5,0,,,0,0,.51082563,3.0133693,2.75,.25,.003521689,.0063434839,41,100,60,2,6,Football A,.5,1,1,.62195122,4,.57964599,.24982373
7,housing,.94999999,.44999999,.94999999,,0,2.9444387,.35667494,3.0133693,3.75,.90249997,.096638076,.014120844,41,100,70,2,9,Housing Prices B,.94999999,0,0,.40697673,9,.83116883,.24982373
7,geography,.60000002,.10000002,.60000002,,0,.40546522,.10536052,3.0133693,7,.15999998,.0055193645,.000029218631,41,100,90,2,7,State Size A,.60000002,1,1,.44565219,5,.5945946,.24982373
7,population,.94999999,.44999999,.94999999,,0,2.9444387,.51082563,3.0133693,7,.0025000011,.096638076,.014120844,41,100,60,2,8,Population B,.94999999,1,1,.92045456,9,.83116883,.24982373
7,soccer,.5,0,,,0,0,-.051293295,3.0133693,2.25,.25,.003521689,.0063434839,41,95,100,2,2,Soccer A,.5,1,1,.54651165,4,.57964599,.24982373
7,oceans,.30000001,.19999999,,.30000001,0,-.84729779,-.43078291,3.0133693,7,.090000004,.048988346,1.0628615e-06,41,65,100,2,7,Ocean Size B,.69999999,0,1,.88372093,2,.29896906,.24982373
8,movies,.40000001,.099999994,,.40000001,0,-.40546513,-.91629076,3.0133693,1,.35999998,.01360313,.000013466764,57,40,100,2,4,Box Office B,.60000002,1,0,.71264368,3,.40366971,.24982373
9,temp,.5,0,,,0,0,.28768209,2.6959054,4,.25,.003521689,.0063434839,33,100,75,1,5,Temperature B,.5,1,0,.79310346,4,.57964599,.24982373
9,football,.44999999,.050000012,,.44999999,0,-.20067075,-.10536052,2.6959054,2.5,.20249999,.003521689,.016808087,33,90,100,1,2,Football B,.55000001,0,1,.62195122,4,.57964599,.24982373
9,baseball,.75,.25,.75,,0,1.0986123,.43078291,2.6959054,2,.0625,.096029654,.0064302264,33,100,65,1,6,Baseball B,.75,1,1,.60919541,7,.83018869,.24982373
9,housing,.89999998,.39999998,.89999998,,0,2.1972244,.22314355,2.6959054,3,.80999994,.030128421,.042486444,33,100,80,1,4,Housing Prices B,.89999998,0,0,.40697673,8,.69387758,.24982373
9,geography,.2,.30000001,,.2,0,-1.3862944,-.16251893,2.6959054,7,.040000003,.076761648,.0018699782,33,85,100,1,4,State Size B,.80000001,0,1,.44565219,1,.24324325,.24982373
9,soccer,.34999999,.15000001,,.34999999,0,-.61903918,-.43078291,2.6959054,1.25,.42250001,.01360313,.0028804389,33,65,100,1,10,Soccer A,.64999998,1,0,.54651165,3,.40366971,.24982373
10,rain,.64999998,.14999998,.64999998,,0,.61903912,.69314718,3.8110609,4.5,.12250002,.0059444718,.002766487,21,100,50,1,4,Rain B,.64999998,1,1,.46067417,6,.59740257,.24982373
10,politics,.55000001,.050000012,.55000001,,0,.20067075,.22314355,3.8110609,1.5,.20249999,.0055193645,.0019886771,21,100,80,1,,US President A,.55000001,1,1,.72527474,5,.5945946,.24982373
10,football,.1,.40000001,,.1,0,-2.1972246,-.69314718,3.8110609,3,.010000001,.082495019,.017711008,21,50,100,1,2,Football B,.89999998,0,1,.62195122,0,.23308271,.24982373
10,crime,.1,.40000001,,.1,0,-2.1972246,-.22314355,3.8110609,7,.010000001,.082495019,.017711008,21,80,100,1,5,Crime B,.89999998,0,1,.90816325,0,.23308271,.24982373
10,soccer,.5,0,,,0,0,.10536052,3.8110609,2,.25,.003521689,.0063434839,21,100,90,1,6,Soccer A,.5,1,0,.54651165,4,.57964599,.24982373
10,oceans,0,.5,,0,1,-5.9788857,-.69314718,3.8110609,7,0,.082495019,.054327551,21,50,100,1,6,Ocean Size B,1,0,1,.88372093,0,.23308271,.24982373
11,rain,.75,.25,.75,,0,1.0986123,.28768209,3.1511917,4.5,.0625,.096029654,.0064302264,59,100,75,2,8,Rain B,.75,1,1,.46067417,7,.83018869,.24982373
11,politics,.40000001,.099999994,,.40000001,0,-.40546513,-.51082563,3.1511917,1.75,.35999998,.01360313,.000013466764,59,60,100,2,,US President A,.60000002,1,0,.72527474,3,.40366971,.24982373
11,housing,.30000001,.19999999,,.30000001,0,-.84729779,-.22314355,3.1511917,1,.090000004,.048988346,1.0628615e-06,59,80,100,2,0,Housing Prices B,.69999999,0,1,.40697673,2,.29896906,.24982373
11,crime,.1,.40000001,,.1,0,-2.1972246,-.22314355,3.1511917,7,.010000001,.082495019,.017711008,59,80,100,2,7,Crime B,.89999998,0,1,.90816325,0,.23308271,.24982373
11,population,.89999998,.39999998,.89999998,,0,2.1972244,.051293295,3.1511917,7,.80999994,.030128421,.042486444,59,100,95,2,3,Population A,.89999998,0,0,.92045456,8,.69387758,.24982373
11,soccer,.5,0,,,0,0,.10536052,3.1511917,2.75,.25,.003521689,.0063434839,59,100,90,2,1,Soccer B,.5,0,1,.54651165,4,.57964599,.24982373
12,temp,.75,.25,.75,,0,1.0986123,-.22314355,2.1534953,2.25,.0625,.096029654,.0064302264,39,80,100,1,4,Temperature B,.75,1,1,.79310346,7,.83018869,.24982373
12,baseball,.2,.30000001,,.2,0,-1.3862944,-.91629076,2.1534953,2.75,.040000003,.076761648,.0018699782,39,40,100,1,9,Baseball A,.80000001,0,1,.60919541,1,.24324325,.24982373
12,movies,.25,.25,,.25,0,-1.0986123,-.22314355,2.1534953,2.25,.0625,.048988346,.0023979689,39,80,100,1,7,Box Office A,.75,0,1,.71264368,2,.29896906,.24982373
12,geography,0,.5,,0,1,-5.9788857,-.10536052,2.1534953,7,0,.082495019,.054327551,39,90,100,1,8,State Size B,1,0,1,.44565219,0,.23308271,.24982373
12,population,.94999999,.44999999,.94999999,,0,2.9444387,.35667494,2.1534953,6,.0025000011,.096638076,.014120844,39,100,70,1,8,Population B,.94999999,1,1,.92045456,9,.83116883,.24982373
12,oceans,1,.5,1,,1,5.978879,2.9957323,2.1534953,7,0,.096638076,.028503964,39,100,5,1,9,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
13,rain,.30000001,.19999999,,.30000001,0,-.84729779,-.43078291,1.4356984,1.5,.48999998,.048988346,1.0628615e-06,22,65,100,1,6,Rain B,.69999999,1,0,.46067417,2,.29896906,.24982373
13,politics,.34999999,.15000001,,.34999999,0,-.61903918,-.43078291,1.4356984,2.5,.12249999,.01360313,.0028804389,22,65,100,1,,US President B,.64999998,0,1,.72527474,3,.40366971,.24982373
13,movies,.94999999,.44999999,.94999999,,0,2.9444387,2.3025851,1.4356984,2.5,.0025000011,.096638076,.014120844,22,100,10,1,10,Box Office B,.94999999,1,1,.71264368,9,.83116883,.24982373
13,crime,.050000001,.44999999,,.050000001,0,-2.9444389,-2.3025851,1.4356984,5.75,.0025000002,.082495019,.033519279,22,10,100,1,9,Crime B,.94999999,0,1,.90816325,0,.23308271,.24982373
13,geography,1,.5,1,,1,5.978879,.16251893,1.4356984,7,1,.096638076,.028503964,22,100,85,1,5,State Size B,1,0,0,.44565219,9,.83116883,.24982373
13,soccer,.5,0,,,0,0,.010050336,1.4356984,1.25,.25,.003521689,.0063434839,22,100,99,1,0,Soccer B,.5,0,1,.54651165,4,.57964599,.24982373
14,baseball,.69999999,.19999999,.69999999,,0,.84729779,-.91629076,1.4326153,1.25,.48999998,.0059444718,.01052623,42,40,100,2,0,Baseball A,.69999999,0,0,.60919541,6,.59740257,.24982373
14,movies,.80000001,.30000001,.80000001,,0,1.3862945,1.6094379,1.4326153,2.25,.039999995,.096029654,.00091135636,42,100,20,2,4,Box Office B,.80000001,1,1,.71264368,7,.83018869,.24982373
14,housing,.30000001,.19999999,,.30000001,0,-.84729779,-1.2039728,1.4326153,3.5,.090000004,.048988346,1.0628615e-06,42,30,100,2,4,Housing Prices B,.69999999,0,1,.40697673,2,.29896906,.24982373
14,crime,.30000001,.19999999,,.30000001,0,-.84729779,-1.2039728,1.4326153,3.5,.090000004,.048988346,1.0628615e-06,42,30,100,2,6,Crime B,.69999999,0,1,.90816325,2,.29896906,.24982373
14,population,.1,.40000001,,.1,0,-2.1972246,-2.3025851,1.4326153,5.25,.010000001,.082495019,.017711008,42,10,100,2,8,Population A,.89999998,0,1,.92045456,0,.23308271,.24982373
14,oceans,1,.5,1,,1,5.978879,2.3025851,1.4326153,6.25,0,.096638076,.028503964,42,100,10,2,9,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
15,rain,.69999999,.19999999,.69999999,,0,.84729779,1.6094379,.71732694,4,.48999998,.0059444718,.01052623,33,100,20,2,0,Rain A,.69999999,0,0,.46067417,6,.59740257,.24982373
15,temp,.5,0,,,0,0,-.51082563,.71732694,4,.25,.003521689,.0063434839,33,60,100,2,1,Temperature A,.5,0,1,.79310346,4,.57964599,.24982373
15,politics,.60000002,.10000002,.60000002,,0,.40546522,.91629076,.71732694,2.25,.15999998,.0055193645,.000029218631,33,100,40,2,,US President A,.60000002,1,1,.72527474,5,.5945946,.24982373
15,movies,.60000002,.10000002,.60000002,,0,.40546522,.91629076,.71732694,3.75,.15999998,.0055193645,.000029218631,33,100,40,2,2,Box Office B,.60000002,1,1,.71264368,5,.5945946,.24982373
15,crime,.30000001,.19999999,,.30000001,0,-.84729779,-1.2039728,.71732694,4,.090000004,.048988346,1.0628615e-06,33,30,100,2,0,Crime B,.69999999,0,1,.90816325,2,.29896906,.24982373
15,population,.1,.40000001,,.1,0,-2.1972246,-2.3025851,.71732694,4.75,.010000001,.082495019,.017711008,33,10,100,2,0,Population A,.89999998,0,1,.92045456,0,.23308271,.24982373
16,rain,.2,.30000001,,.2,0,-1.3862944,-1.6094379,.90303695,3,.63999999,.076761648,.0018699782,59,20,100,2,3,Rain B,.80000001,1,0,.46067417,1,.24324325,.24982373
16,politics,0,.5,,0,1,-5.9788857,-2.3025851,.90303695,4.75,0,.082495019,.054327551,59,10,100,2,,US President B,1,0,1,.72527474,0,.23308271,.24982373
16,football,.1,.40000001,,.1,0,-2.1972246,.69314718,.90303695,4.25,.81,.082495019,.017711008,59,100,50,2,4,Football A,.89999998,1,0,.62195122,0,.23308271,.24982373
16,baseball,.1,.40000001,,.1,0,-2.1972246,.22314355,.90303695,3.25,.010000001,.082495019,.017711008,59,100,80,2,5,Baseball A,.89999998,0,1,.60919541,0,.23308271,.24982373
16,housing,.2,.30000001,,.2,0,-1.3862944,.22314355,.90303695,4.5,.040000003,.076761648,.0018699782,59,100,80,2,3,Housing Prices B,.80000001,0,1,.40697673,1,.24324325,.24982373
16,geography,0,.5,,0,1,-5.9788857,-.51082563,.90303695,6,0,.082495019,.054327551,59,60,100,2,4,State Size B,1,0,1,.44565219,0,.23308271,.24982373
17,politics,.55000001,.050000012,.55000001,,0,.20067075,.79850769,.72102296,4,.30250001,.0055193645,.0019886771,21,100,45,2,,US President B,.55000001,0,0,.72527474,5,.5945946,.24982373
17,movies,.30000001,.19999999,,.30000001,0,-.84729779,-1.6094379,.72102296,5,.090000004,.048988346,1.0628615e-06,21,20,100,2,7,Box Office A,.69999999,0,1,.71264368,2,.29896906,.24982373
17,housing,.69999999,.19999999,.69999999,,0,.84729779,1.2039728,.72102296,5.5,.090000004,.0059444718,.01052623,21,100,30,2,6,Housing Prices A,.69999999,1,1,.40697673,6,.59740257,.24982373
17,geography,.40000001,.099999994,,.40000001,0,-.40546513,.22314355,.72102296,5,.35999998,.01360313,.000013466764,21,100,80,2,2,State Size A,.60000002,1,0,.44565219,3,.40366971,.24982373
17,population,.89999998,.39999998,.89999998,,0,2.1972244,2.3025851,.72102296,4.5,.010000004,.030128421,.042486444,21,100,10,2,6,Population B,.89999998,1,1,.92045456,8,.69387758,.24982373
17,soccer,.40000001,.099999994,,.40000001,0,-.40546513,-.91629076,.72102296,4,.35999998,.01360313,.000013466764,21,40,100,2,2,Soccer A,.60000002,1,0,.54651165,3,.40366971,.24982373
18,temp,.25,.25,,.25,0,-1.0986123,-.28768209,7.5185595,4.25,.0625,.048988346,.0023979689,24,75,100,1,6,Temperature A,.75,0,1,.79310346,2,.29896906,.24982373
18,politics,.55000001,.050000012,.55000001,,0,.20067075,.051293295,7.5185595,2.75,.20249999,.0055193645,.0019886771,24,100,95,1,,US President A,.55000001,1,1,.72527474,5,.5945946,.24982373
18,football,.5,0,,,0,0,.051293295,7.5185595,2.5,.25,.003521689,.0063434839,24,100,95,1,1,Football A,.5,1,1,.62195122,4,.57964599,.24982373
18,baseball,.34999999,.15000001,,.34999999,0,-.61903918,-.22314355,7.5185595,3,.42250001,.01360313,.0028804389,24,80,100,1,1,Baseball B,.64999998,1,0,.60919541,3,.40366971,.24982373
18,crime,.75,.25,.75,,0,1.0986123,.28768209,7.5185595,3.25,.0625,.096029654,.0064302264,24,100,75,1,5,Crime A,.75,1,1,.90816325,7,.83018869,.24982373
18,oceans,1,.5,1,,1,5.978879,.22314355,7.5185595,7,0,.096638076,.028503964,24,100,80,1,9,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
19,rain,.40000001,.099999994,,.40000001,0,-.40546513,-.10536052,3.2785256,3.75,.35999998,.01360313,.000013466764,28,90,100,2,,Rain B,.60000002,1,0,.46067417,3,.40366971,.24982373
19,baseball,.60000002,.10000002,.60000002,,0,.40546522,.22314355,3.2785256,4,.15999998,.0055193645,.000029218631,28,100,80,2,3,Baseball B,.60000002,1,1,.60919541,5,.5945946,.24982373
19,movies,.80000001,.30000001,.80000001,,0,1.3862945,.28768209,3.2785256,3.75,.039999995,.096029654,.00091135636,28,100,75,2,6,Box Office B,.80000001,1,1,.71264368,7,.83018869,.24982373
19,crime,.2,.30000001,,.2,0,-1.3862944,-.51082563,3.2785256,7,.040000003,.076761648,.0018699782,28,60,100,2,5,Crime B,.80000001,0,1,.90816325,1,.24324325,.24982373
19,population,.050000001,.44999999,,.050000001,0,-2.9444389,-.69314718,3.2785256,7,.0025000002,.082495019,.033519279,28,50,100,2,6,Population A,.94999999,0,1,.92045456,0,.23308271,.24982373
19,soccer,.5,0,,,0,0,.28768209,3.2785256,4,.25,.003521689,.0063434839,28,100,75,2,3,Soccer A,.5,1,0,.54651165,4,.57964599,.24982373
21,rain,.15000001,.34999999,,.15000001,0,-1.734601,.69314718,.68905669,3.75,.72249997,.076761648,.0086943023,49,100,50,2,5,Rain B,.85000002,1,0,.46067417,1,.24324325,.24982373
21,politics,.75,.25,.75,,0,1.0986123,.28768209,.68905669,2.5,.0625,.096029654,.0064302264,49,100,75,2,,US President A,.75,1,1,.72527474,7,.83018869,.24982373
21,football,.30000001,.19999999,,.30000001,0,-.84729779,.69314718,.68905669,1.75,.090000004,.048988346,1.0628615e-06,49,100,50,2,5,Football B,.69999999,0,1,.62195122,2,.29896906,.24982373
21,housing,.25,.25,,.25,0,-1.0986123,-1.3862944,.68905669,4.25,.0625,.048988346,.0023979689,49,25,100,2,5,Housing Prices B,.75,0,1,.40697673,2,.29896906,.24982373
21,geography,.80000001,.30000001,.80000001,,0,1.3862945,.69314718,.68905669,4,.64000005,.096029654,.00091135636,49,100,50,2,5,State Size B,.80000001,0,0,.44565219,7,.83018869,.24982373
21,population,.1,.40000001,,.1,0,-2.1972246,-.69314718,.68905669,3,.010000001,.082495019,.017711008,49,50,100,2,5,Population A,.89999998,0,1,.92045456,0,.23308271,.24982373
23,temp,.5,0,,,0,0,-.22314355,6.100153,4,.25,.003521689,.0063434839,18,80,100,1,5,Temperature A,.5,0,1,.79310346,4,.57964599,.24982373
23,football,.5,0,,,0,0,.28768209,6.100153,3.25,.25,.003521689,.0063434839,18,100,75,1,0,Football A,.5,1,1,.62195122,4,.57964599,.24982373
23,baseball,.64999998,.14999998,.64999998,,0,.61903912,.51082563,6.100153,2.75,.12250002,.0059444718,.002766487,18,100,60,1,4,Baseball B,.64999998,1,1,.60919541,6,.59740257,.24982373
23,housing,.60000002,.10000002,.60000002,,0,.40546522,.22314355,6.100153,4.5,.36000001,.0055193645,.000029218631,18,100,80,1,2,Housing Prices B,.60000002,0,0,.40697673,5,.5945946,.24982373
23,geography,1,.5,1,,1,5.978879,.22314355,6.100153,7,0,.096638076,.028503964,18,100,80,1,7,State Size A,1,1,1,.44565219,9,.83116883,.24982373
23,oceans,0,.5,,0,1,-5.9788857,-.69314718,6.100153,7,0,.082495019,.054327551,18,50,100,1,10,Ocean Size B,1,0,1,.88372093,0,.23308271,.24982373
24,temp,.80000001,.30000001,.80000001,,0,1.3862945,.35667494,.83648574,2,.039999995,.096029654,.00091135636,30,100,70,2,10,Temperature B,.80000001,1,1,.79310346,7,.83018869,.24982373
24,politics,.75,.25,.75,,0,1.0986123,.22314355,.83648574,4.75,.0625,.096029654,.0064302264,30,100,80,2,,US President A,.75,1,1,.72527474,7,.83018869,.24982373
24,football,.5,0,,,0,0,-.69314718,.83648574,1.5,.25,.003521689,.0063434839,30,50,100,2,5,Football A,.5,1,0,.62195122,4,.57964599,.24982373
24,movies,.30000001,.19999999,,.30000001,0,-.84729779,-.51082563,.83648574,3.5,.090000004,.048988346,1.0628615e-06,30,60,100,2,10,Box Office A,.69999999,0,1,.71264368,2,.29896906,.24982373
24,geography,.60000002,.10000002,.60000002,,0,.40546522,.28768209,.83648574,7,.36000001,.0055193645,.000029218631,30,100,75,2,8,State Size B,.60000002,0,0,.44565219,5,.5945946,.24982373
24,soccer,.62,.12,.62,,0,.48954824,.91629076,.83648574,1.5,.1444,.0059444718,.00051064393,30,100,40,2,2,Soccer A,.62,1,1,.54651165,6,.59740257,.24982373
25,rain,.5,0,,,0,0,-.69314718,2.7112644,2.25,.25,.003521689,.0063434839,28,50,100,1,5,Rain A,.5,0,0,.46067417,4,.57964599,.24982373
25,movies,0,.5,,0,1,-5.9788857,-.91629076,2.7112644,2,0,.082495019,.054327551,28,40,100,1,9,Box Office A,1,0,1,.71264368,0,.23308271,.24982373
25,geography,.40000001,.099999994,,.40000001,0,-.40546513,-.35667494,2.7112644,7,.16000001,.01360313,.000013466764,28,70,100,1,3,State Size B,.60000002,0,1,.44565219,3,.40366971,.24982373
25,population,.1,.40000001,,.1,0,-2.1972246,-1.6094379,2.7112644,6.75,.010000001,.082495019,.017711008,28,20,100,1,6,Population A,.89999998,0,1,.92045456,0,.23308271,.24982373
25,soccer,.60000002,.10000002,.60000002,,0,.40546522,.91629076,2.7112644,3.75,.15999998,.0055193645,.000029218631,28,100,40,1,6,Soccer A,.60000002,1,1,.54651165,5,.5945946,.24982373
25,oceans,1,.5,1,,1,5.978879,1.2039728,2.7112644,6,0,.096638076,.028503964,28,100,30,1,8,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
27,temp,.75,.25,.75,,0,1.0986123,.69314718,2.570523,1.5,.0625,.096029654,.0064302264,42,100,50,2,7,Temperature B,.75,1,1,.79310346,7,.83018869,.24982373
27,baseball,.5,0,,,0,0,-.22314355,2.570523,1.75,.25,.003521689,.0063434839,42,80,100,2,1,Baseball B,.5,1,1,.60919541,4,.57964599,.24982373
27,housing,.25,.25,,.25,0,-1.0986123,.10536052,2.570523,2.75,.0625,.048988346,.0023979689,42,100,90,2,3,Housing Prices B,.75,0,1,.40697673,2,.29896906,.24982373
27,crime,.75,.25,.75,,0,1.0986123,.51082563,2.570523,5.5,.0625,.096029654,.0064302264,42,100,60,2,6,Crime A,.75,1,1,.90816325,7,.83018869,.24982373
27,soccer,.5,0,,,0,0,-.10536052,2.570523,1.25,.25,.003521689,.0063434839,42,90,100,2,1,Soccer B,.5,0,0,.54651165,4,.57964599,.24982373
27,oceans,1,.5,1,,1,5.978879,2.3025851,2.570523,7,0,.096638076,.028503964,42,100,10,2,9,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
28,temp,.80000001,.30000001,.80000001,,0,1.3862945,.10536052,5.2731485,1,.039999995,.096029654,.00091135636,40,100,90,1,2,Temperature B,.80000001,1,1,.79310346,7,.83018869,.24982373
28,football,.5,0,,,0,0,.28768209,5.2731485,1,.25,.003521689,.0063434839,40,100,75,1,4,Football A,.5,1,0,.62195122,4,.57964599,.24982373
28,baseball,.5,0,,,0,0,-.22314355,5.2731485,1.25,.25,.003521689,.0063434839,40,80,100,1,0,Baseball B,.5,1,1,.60919541,4,.57964599,.24982373
28,movies,.69999999,.19999999,.69999999,,0,.84729779,.35667494,5.2731485,3.25,.090000004,.0059444718,.01052623,40,100,70,1,6,Box Office B,.69999999,1,1,.71264368,6,.59740257,.24982373
28,geography,.5,0,,,0,0,.10536052,5.2731485,7,.25,.003521689,.0063434839,40,100,90,1,5,State Size B,.5,0,0,.44565219,4,.57964599,.24982373
28,oceans,1,.5,1,,1,5.978879,.91629076,5.2731485,7,0,.096638076,.028503964,40,100,40,1,10,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
29,temp,.80000001,.30000001,.80000001,,0,1.3862945,.22314355,3.3730195,4.25,.039999995,.096029654,.00091135636,29,100,80,1,7,Temperature B,.80000001,1,1,.79310346,7,.83018869,.24982373
29,politics,.49000001,.0099999905,,.49000001,0,-.040005296,-.020202707,3.3730195,2.25,.24010001,.003521689,.0080364021,29,98,100,1,,US President B,.50999999,0,1,.72527474,4,.57964599,.24982373
29,baseball,.75,.25,.75,,0,1.0986123,.59783697,3.3730195,4.25,.0625,.096029654,.0064302264,29,100,55,1,10,Baseball B,.75,1,1,.60919541,7,.83018869,.24982373
29,crime,1,.5,1,,1,5.978879,1.6094379,3.3730195,5.25,0,.096638076,.028503964,29,100,20,1,10,Crime A,1,1,1,.90816325,9,.83116883,.24982373
29,soccer,.34999999,.15000001,,.34999999,0,-.61903918,-.43078291,3.3730195,4,.42250001,.01360313,.0028804389,29,65,100,1,8,Soccer A,.64999998,1,0,.54651165,3,.40366971,.24982373
29,oceans,1,.5,1,,1,5.978879,1.6094379,3.3730195,7,0,.096638076,.028503964,29,100,20,1,10,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
30,temp,.85000002,.35000002,.85000002,,0,1.7346013,.51082563,5.0452738,2.75,.022499993,.030128421,.024374219,28,100,60,1,6,Temperature B,.85000002,1,1,.79310346,8,.69387758,.24982373
