"ResponseID","Status","StartDate","EndDate","rain1","rain2","temp1","temp2","political1","political2","football1","football2","baseball1","baseball2","movies1","movies2","housing1","housing2","crime1","crime2","geo1","geo2","pop1","pop2","soccer1","soccer2","ocean1","ocean2","s_chicago","s_minn","s_pitt","s_portland","s_obama","s_romney","s_cardinals","s_49ers","s_spiderman","s_batman","s_atlanta","s_nashville","s_columbus","s_detroit","s_nevada","s_wyoming","s_istanbul","s_shanghai","s_italy","s_germany","s_atlantic","s_indian","s_cubs","s_dodgers","e_rain1","e_rain2","e_rain3","e_rain4","e_rain5","e_rain6","e_rain7","e_rain8","e_temp1","e_temp2","e_temp3","e_temp4","e_temp5","e_temp6","e_temp7","e_temp8","e_politics1","e_politics2","e_politics3","e_politics4","e_politics5","e_politics6","e_politics7","e_politics8","e_football1","e_football2","e_football3","e_football4","e_football5","e_football6","e_football7","e_football8","e_baseball1","e_baseball2","e_baseball3","e_baseball4","e_baseball5","e_baseball6","e_baseball7","e_baseball8","e_movies1","e_movies2","e_movies3","e_movies4","e_movies5","e_movies6","e_movies7","e_movies8","e_housing1","e_housing2","e_housing3","e_housing4","e_housing5","e_housing6","e_housing7","e_housing8","e_crime1","e_crime2","e_crime3","e_crime4","e_crime5","e_crime6","e_crime7","e_crime8","e_geo1","e_geo2","e_geo3","e_geo4","e_geo5","e_geo6","e_geo7","e_geo8","e_pop1","e_pop2","e_pop3","e_pop4","e_pop5","e_pop6","e_pop7","e_pop8","e_soccer1","e_soccer2","e_soccer3","e_soccer4","e_soccer5","e_soccer6","e_soccer7","e_soccer8","e_ocean1","e_ocean2","e_ocean3","e_ocean4","e_ocean5","e_ocean6","e_ocean7","e_ocean8","k_rain","k_rain","k_temp","k_temp","k_presiden","k_presiden","k_football","k_football","k_baseball","k_baseball","k_movies","k_movies","k_housing","k_housing","k_crime","k_crime","k_geo","k_geo","k_populat","k_populat","k_soccer","k_soccer","k_ocean","k_ocean","dcheck1","dcheck2_1","dcheck2_2","dcheck2_3","dcheck2_4","dcheck2_5","dcheck2_6","dcheck2_7","dcheck2_8","dcheck2_9","dcheck2_10","age","gender","outside_sources","comments","target1","target2","target3","target4","target5","target6","target7","target8","target9","target10","target11","target12","block1","block2","block3","block4","block5","block6"
"R_0GkXCYzuhYFVZTC","0","6/7/12 19:30","6/7/12 19:34","","65","","","55","","","10","","","","","","","","10","","","","","50","","","0","50","100","","","100","80","50","100","","","","","80","100","","","","","100","90","100","50","","","","","","","7","4","4","5","","","","","","","","","1","5","1","7","","","","","","","","","1","3","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","1","5","1","5","","","","","","","","","7","1","7","1","","5","","","10","","","3","","","","","","","","6","","","","","7","","","7","2","","","","","","","","","","","21","1","2","","Rain B","","US President A","Football B","","","","Crime B","","","Soccer A","Ocean Size B","crime","politics","rain","soccer","ocean","football"
"R_aXcEBibDjyZgrSA","0","6/7/12 19:26","6/7/12 19:34","","75","","","40","","","","","","","","","30","","10","","","90","","","50","","","75","100","","","60","100","","","","","80","100","80","100","","","100","95","90","100","","","","","","","","","6","4","4","4","","","","","","","","","2","6","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","7","1","7","","","","","7","1","7","1","","","","","","","","","7","1","7","1","","","","","","","","","5","6","1","5","","","","","","","","","","9","","","5","","","","","","","","","1","","8","","","4","","","2","","","2","","","","","","","","","","","59","2","2","","Rain B","","US President A","","","","Housing Prices B","Crime B","","Population A","Soccer B","","crime","politics","rain","soccer","housing","population"
"R_bIZ4yvWDvjhyrzK","0","6/7/12 19:28","6/7/12 19:34","","","","75","","","","","20","","25","","","","","","","0","","95","","","100","","","","80","100","","","","","80","100","","","","","100","90","70","100","","","100","5","40","100","","","","","","","","","","","","","3","6","2","6","","","","","","","","","","","","","","","","","3","6","4","6","","","","","2","6","2","5","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","6","2","6","2","","","","","","","","","7","1","7","1","","","","","","","","5","","","","","10","","8","","","","","","","9","","9","","","10","","2","","","","","","","","","","","39","1","2","no","","Temperature B","","","Baseball A","Box Office A","","","State Size B","Population B","","Ocean Size A","baseball","state size","movies","population","ocean","temp"
"R_9KNIUwOZacoqsq8","0","6/7/12 19:23","6/7/12 19:34","","30","","","","35","","","","","","95","","","","5","","100","","","","50","","","100","65","","","100","65","","","10","100","","","10","100","85","100","","","99","100","","","","","","","","","1","7","1","5","","","","","","","","","","","","","2","6","3","5","","","","","","","","","","","","","","","","","","","","","1","5","2","4","","","","","","","","","","","","","6","2","5","2","","","","","7","1","7","1","","","","","","","","","","","","","1","7","1","6","","","","","","","","","","7","","","","9","","","","","","11","","","","10","","6","","","","1","","","2","","","","","","","","","","","22","1","2","It was interesting.","Rain B","","US President B","","","Box Office B","","Crime B","State Size B","","Soccer B","","state size","politics","soccer","crime","movies","rain"
"R_6ri1TDVWFxZwSOg","0","6/7/12 19:24","6/7/12 19:35","","","","","","","","","70","","","80","","30","","30","","","10","","","","100","","","","","","","","","","20","100","30","100","30","100","","","10","100","","","100","10","40","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","1","7","","","","","","","","","2","4","1","6","","","","","5","4","3","6","","","","","4","5","4","5","","","","","","","","","6","5","6","2","","","","","","","","","","","","","7","4","7","1","","","","","","","","","","","","","1","","","5","","5","","7","","","9","","","","10","","2","","","","","","","","","","","42","2","2","","","","","","Baseball A","Box Office B","Housing Prices B","Crime B","","Population A","","Ocean Size A","crime","movies","baseball","ocean","population","housing"
"R_davdQaaHFvOWFO4","0","6/7/12 19:27","6/7/12 19:36","70","","50","","60","","","","","","","60","","","","30","","","10","","","","","","100","20","100","60","100","40","","","40","100","","","30","100","","","10","100","","","","","","","2","3","3","2","","","","","2","3","4","3","","","","","1","3","1","6","","","","","","","","","","","","","","","","","","","","","","","","","4","4","2","3","","","","","","","","","","","","","2","2","3","3","","","","","","","","","2","2","5","2","","","","","","","","","","","","","","","","","","","","","1","","2","","7","","","","","","","3","","","","1","","","1","","","","","","2","","","","","","","","","","","33","2","2","no","Rain A","Temperature A","US President A","","","Box Office B","","Crime B","","Population A","","","temp","population","movies","rain","crime","politics"
"R_en6Z4M2fHlLPszi","0","6/7/12 19:28","6/7/12 19:36","","20","","","","0","10","","10","","","","","20","","","","0","","","","","","","100","20","","","100","10","50","100","","","100","80","","","100","60","","","","","","","100","80","","","","","3","5","3","5","","","","","","","","","","","","","5","2","3","3","5","4","4","4","","","","","3","5","3","4","","","","","","","","","","","","","","","","","5","4","4","3","","","","","","","","","","","","","6","2","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","8","5","","6","","","","","4","","","","5","","","","","","","2","","","","","","","","","","","59","2","2","no","Rain B","","US President B","Football A","Baseball A","","Housing Prices B","","State Size B","","","","rain","baseball","football","housing","state size","politics"
"R_a9MVjMcZXCAHLs8","0","6/7/12 19:30","6/7/12 19:37","","","","","","55","","","","","30","","70","","","","40","","","90","40","","","","","","","","45","100","","","20","100","30","100","","","100","80","10","100","40","100","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","4","","","","","","","","","","","","","","","","","5","2","5","4","","","","","6","3","6","3","","","","","","","","","","","","","5","3","5","3","","","","","","","","","4","4","5","3","3","3","3","3","","","","","","","","","","","","","","","","","","8","","","","","8","","7","","","","3","","","7","3","","","","1","","","","1","","","","","","","21","2","2","No.","","","US President B","","","Box Office A","Housing Prices A","","State Size A","Population B","Soccer A","","politics","soccer","housing","movies","state size","population"
"R_8D1qech7BOTFILW","0","6/7/12 19:34","6/7/12 19:38","","","25","","55","","50","","","35","","","","","75","","","","","","","","100","","","","100","75","100","95","95","100","","","","","75","100","","","","","","","100","80","100","80","","","","","","","","","6","6","5","4","","","","","5","6","1","5","","","","","5","6","1","6","","","","","","","","","5","6","2","5","","","","","","","","","","","","","","","","","5","6","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","7","","9","","2","","","2","","","","","6","","","","","","","","10","","2","","","","","","","","","","","24","1","2","Interesting study!","","Temperature A","US President A","Football A","Baseball B","","","Crime A","","","","Ocean Size A","politics","crime","football","temp","baseball","ocean"
"R_a47HVpsIxLVvMtS","0","6/7/12 19:32","6/7/12 19:38","","40","","","","","","","","60","","80","","","","20","","","5","","50","","","","100","90","","","","","","","75","100","","","60","100","","","50","100","100","75","","","80","100","","","","","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","3","","","","","4","4","3","4","","","","","","","","","","","","","7","1","7","1","","","","","","","","","7","1","7","1","","","","","4","4","3","3","","","","","","","","","","","","","","","","","","","","","","4","","7","","","","6","","","7","","4","","","","2","","","","","","","","","","","28","2","2","","Rain B","","","","Baseball B","Box Office B","","Crime B","","Population A","Soccer A","","population","movies","soccer","rain","baseball","crime"
"R_dbabY5luGtjspKY","0","6/7/12 19:24","6/7/12 19:38","55","","","65","","60","60","","50","","","","","","","","","","","","","40","","","70","100","80","100","100","50","90","100","","","","","","","","","","","100","70","","","100","60","4","5","2","3","","","","","","","","","4","6","3","5","","","","","1","6","1","5","2","3","1","5","","","","","1","5","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","1","5","","","","","","","","","2","","","2","","4","1","","1","","","","","","","","","","","","","1","","","2","","","","","","","","","","","33","2","2","","Rain A","Temperature B","US President B","Football A","Baseball A","","","","","","Soccer B","","politics","temp","baseball","football","rain","soccer"
"R_6fZpNn5CxQKVuUk","0","6/7/12 19:32","6/7/12 19:39","","15","","","75","","","30","","","","","","25","","","","80","10","","","","","","50","100","","","100","75","100","50","","","25","100","","","50","100","50","100","","","","","","","","","","","5","4","4","6","","","","","","","","","2","5","3","6","","","","","","","","","2","6","2","7","","","","","","","","","","","","","","","","","","","","","6","4","5","6","","","","","","","","","","","","","7","4","4","7","2","3","3","6","","","","","","","","","","","","","","","","","","","","","","6","","","6","","","6","","","","","","6","","","","6","6","","","","","","1","","","","","","","","","","1","49","2","2","","Rain B","","US President A","Football B","","","Housing Prices B","","State Size B","Population A","","","football","population","state size","politics","housing","rain"
"R_d6hcyPtXBzwI6R6","0","6/7/12 19:34","6/7/12 19:40","","","","","","30","","","","","0","","","48","","20","","","","0","80","","","","","","","","100","30","","","0","100","48","100","20","100","","","10","100","50","100","","","","","","","","","","","","","","","","","","","","","","","","","6","6","1","5","","","","","","","","","","","","","","","","","7","7","1","1","","","","","","","","","5","6","7","2","","","","","5","4","3","4","","","","","","","","","","","","","3","5","4","2","1","4","1","7","","","","","","","","","","","","","","","","","","11","","","","","11","","","1","","10","","","","3","1","","","","2","","","","","","","","","","","20","1","2","","","","US President B","","","Box Office A","Housing Prices B","Crime B","","Population B","Soccer A","","politics","movies","population","crime","housing","soccer"
"R_6hbvAOPODBu58VK","0","6/7/12 19:31","6/7/12 19:40","","","50","","","","50","","","65","","","","60","","","100","","","","","","","0","","","100","80","","","75","100","","","100","80","","","100","80","","","","","100","50","60","100","","","","","","","","","6","4","2","4","","","","","","","","","","","","","2","4","1","2","","","","","","","","","2","5","2","4","","","","","","","","","","","","","6","5","5","4","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","6","","","","1","","","5","","","","3","","","8","","","","","","","11","2","","","","","","","","","","","18","1","2","No comment...though I do like the final question :)","","Temperature A","","Football A","Baseball B","","Housing Prices B","","State Size A","","","Ocean Size B","temp","baseball","housing","ocean","state size","football"
"R_5ckqiA976ahc9P6","0","6/7/12 19:34","6/7/12 19:40","","","","80","75","","50","","","","30","","","","","","","60","","","62","","","","","","100","70","100","80","100","50","60","100","","","","","75","100","","","100","40","","","","","","","","","","","","","","","","","3","5","1","7","6","4","5","4","","","","","3","7","1","7","","","","","","","","","","","","","4","3","3","6","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","2","7","1","6","","","","","","","","","","","","","","","","11","8","","6","","","","11","","","","","","","9","","","3","","","","2","","","","","","","","","","","30","2","2","i suck at probability. but interesting questions. ","","Temperature B","US President A","Football A","","Box Office A","","","State Size B","","Soccer A","","state size","football","soccer","temp","politics","movies"
"R_5iNo2GQJkwJ8ery","0","6/7/12 19:34","6/7/12 19:41","50","","","","","","","","","","0","","","","","","","40","10","","60","","100","","50","100","","","","","","","40","100","","","","","100","70","20","100","100","40","100","30","","","2","5","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","1","6","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","7","1","6","1","","","","","4","5","4","4","","","","","6","1","4","1","","","","","6","","","","","","","","","","10","","","","","","","4","7","","7","","9","","2","","","","","","","","","","","28","1","2","I thought it was interesting.","Rain A","","","","","Box Office A","","","State Size B","Population A","Soccer A","Ocean Size A","population","state size","soccer","rain","ocean","movies"
"R_cOT0JsjHmk24c5e","0","6/7/12 19:34","6/7/12 19:41","25","","60","","","","","","","","","","10","","","","","","","20","","40","","20","100","60","100","30","","","","","","","100","50","","","","","20","100","100","25","100","45","","","3","5","1","4","","","","","2","5","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","6","2","5","1","","","","","1","7","1","6","","","","","6","2","6","1","2","","1","","","","","","","","","","10","","","","","","","5","","1","","8","2","","","","","","","","","","","27","2","2","no","Rain A","Temperature A","","","","","Housing Prices A","","","Population B","Soccer B","Ocean Size B","ocean","housing","rain","soccer","temp","population"
"R_a4Aqxbil7QoqtJG","0","6/7/12 19:35","6/7/12 19:42","","","","75","","","","","","50","","","","25","75","","","","","","","50","100","","","","100","50","","","","","","","100","90","60","100","","","","","100","90","100","10","100","80","","","","","","","","","","","","","2","6","1","7","","","","","","","","","","","","","","","","","","","","","1","5","1","6","","","","","","","","","","","","","5","6","2","6","6","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1","6","1","7","7","1","7","1","","","","","","","","8","","","","","","2","","","","4","7","","","","","","","2","10","","2","","","","","","","","","","","42","2","2","Nope.","","Temperature B","","","Baseball B","","Housing Prices B","Crime A","","","Soccer B","Ocean Size A","housing","temp","soccer","crime","baseball","ocean"
"R_b1JH0gqZw9EMWvG","0","6/7/12 19:33","6/7/12 19:43","","","","80","","","50","","","50","","70","","","","","","50","","","","","100","","","","100","90","","","75","100","70","100","","","","","90","100","","","","","100","40","100","80","","","","","","","","","","","","","1","7","1","7","","","","","","","","","1","7","1","7","","","","","","","","","1","6","1","7","","","","","3","4","1","3","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","3","","","5","","","1","","7","","","","","","6","","","","","11","","2","","","","","","","","","","","40","1","2","None","","Temperature B","","Football A","Baseball B","Box Office B","","","State Size B","","","Ocean Size A","movies","baseball","ocean","football","state size","temp"
"R_bkHOVC0tr4EPGUk","0","6/7/12 19:32","6/7/12 19:43","","","","80","","49","","","","75","","","","","100","","","","","","35","","100","","","","100","80","100","98","","","","","","","20","100","","","","","65","100","100","20","55","100","","","","","","","","","","","","","5","3","1","2","","","","","1","5","1","4","","","","","","","","","","","","","5","3","1","2","","","","","","","","","","","","","","","","","7","2","1","1","","","","","","","","","","","","","","","","","","","","","4","3","1","2","","","","","7","1","7","1","","","","","","","","8","","6","","","","11","","","","","11","","","","","","9","","11","","2","","","","","","","","","","","29","1","2","They all seemed to be relatively easy questions to me but it also helps that I am a sports nut and 2 questions were sports related.  The weather one is iffy but Oregon is usually cooler than Pennsylvania.  I figure everyone knows the answer to the Atlantic vs Indian Oceans question.  The political one could go either way.  We don't know yet.  As for the crime rate one, I understand that it is based on a percentage, not an amount of crime.  I would be stunned if Columbus had a higher crime rate than Detroit.  just giving you my rationale with my answers.","","Temperature B","US President B","","Baseball B","","","Crime A","","","Soccer A","Ocean Size A","temp","politics","baseball","soccer","crime","ocean"
"R_d1kcW63to2VjZw8","0","6/7/12 19:37","6/7/12 19:44","","","","85","","","90","","","","","","","35","","15","","100","","","","","","0","","","100","60","","","60","100","","","75","100","52","100","80","100","","","","","100","30","","","","","","","","","","","","","","","2","5","2","4","","","","","","","","","2","7","1","5","","","","","","","","","","","","","","","","","","","","","","","","","3","6","3","5","","","","","6","3","5","3","","","","","7","2","7","1","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","7","","","10","","","","","","","3","","7","","8","","","","","","11","2","","","","","","","","","","","28","1","2","Enjoyable study. I like to think I know all the answers but maybe I wasn't right for everyone.","","Temperature B","","Football A","","","Housing Prices B","Crime B","State Size B","","","Ocean Size B","housing","crime","temp","football","state size","ocean"
"R_2hNXheakiMtwLkg","0","6/7/12 19:33","6/7/12 19:44","95","","","30","","","","","","","","75","25","","","","","","20","","","30","","","100","60","80","100","","","","","85","100","100","90","","","","","65","100","100","50","","","","","6","2","4","2","","","","","","","","","3","1","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","5","5","4","5","2","4","","","","","","","","","","","","","","","","","","","","","4","3","5","4","","","","","","","","","1","7","1","5","","","","","","","","","6","","","7","","","","","","","","7","5","","","","","","4","","","1","","","2","","","","","","","","","","","19","2","2","","Rain A","Temperature B","","","","Box Office B","Housing Prices A","","","Population A","Soccer B","","temp","movies","rain","population","housing","soccer"
"R_czHfsezHUodpjBG","0","6/7/12 19:29","6/7/12 19:45","15","","25","","","","","70","","60","","","","65","75","","","","","","","","","","50","100","50","100","","","50","100","","","100","50","50","100","","","","","","","","","50","100","5","4","3","3","","","","","5","3","4","3","","","","","","","","","","","","","","","","","5","3","3","4","","","","","3","5","2","5","","","","","","","","","","","","","5","3","4","3","5","3","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","7","","","","","10","","9","","","","7","8","","","","","","","","","","1","","1","","","","1","1","","","","33","1","2","Thank you!","Rain A","Temperature A","","Football B","Baseball B","","Housing Prices B","Crime A","","","","","housing","crime","temp","rain","baseball","football"
"R_3fQfIh1PltL5w2g","0","6/7/12 19:35","6/7/12 19:45","30","","80","","","","20","","","","","","","","","","","0","10","","","50","","","40","100","100","70","","","100","60","","","","","","","100","40","70","100","100","80","","","","","6","1","5","1","","","","","6","1","6","1","","","","","","","","","","","","","2","5","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","6","1","5","2","6","1","","","","","","","","","4","2","4","5","","","","","","","","","1","","3","","","","1","","","","","","","","","","","8","7","","","9","","","2","","","","","","","","","","","24","2","2","NO","Rain A","Temperature A","","Football A","","","","","State Size B","Population A","Soccer B","","state size","population","soccer","temp","football","rain"
